3 1 7 1 708.988 71.8985 0.000196658 0.00919494	337.814203426 -15.9413327762
3 1 3 2 227.979 104.903 0.00079591 -0.00267389	337.811768453 -15.9776151899
3 1 2 2 130.045 125.834 0.00216268 0.00125649	337.810160693 -15.9850047681
3 1 10 2 980.628 167.65 -0.000622109 0.00866293	337.806630916 -15.9208547252
3 1 13 3 1260.31 273.957 0.00189602 0.00515979	337.798233499 -15.8997758903
3 1 7 4 714.555 308.225 0.000504932 0.00453486	337.79571405 -15.9409228479
3 1 11 4 1098.9 326.411 -0.000779642 0.00450707	337.794178977 -15.911945498
3 1 11 4 1068.38 320.72 -0.00102157 0.00295508	337.794632979 -15.9142460104
3 1 5 4 412.349 335.607 -0.0015766 -0.000844903	337.793660985 -15.9637156101
3 1 8 4 741.745 354.058 0.00117731 0.00223898	337.792120902 -15.9388744066
3 1 11 4 1072.67 360.068 -0.00121155 0.00280483	337.791554489 -15.9139243661
3 1 11 4 1086.84 370.25 0.00118645 0.00372472	337.790754095 -15.9128566105
3 1 14 5 1365.97 422.756 -0.00226014 0.00910012	337.786567521 -15.8918190779
3 1 9 5 907.494 496.959 0.00299148 0.00265008	337.780896275 -15.9263828529
3 1 11 5 1051.37 498.013 0.00141141 0.00514701	337.780772969 -15.9155361349
3 1 2 6 186.476 548.364 0.000815669 -0.00348321	337.777081251 -15.9807616661
3 1 2 7 168.351 621.904 0.00258021 0.00154443	337.771332826 -15.9821314499
3 1 3 7 256.163 636.084 -0.000344531 0.00291107	337.770198425 -15.9755075063
3 1 1 7 97.6156 660.904 0.00493032 0.00557461	337.768301767 -15.9874692693
3 1 13 8 1298.72 793.026 0.000859834 0.00857172	337.757637861 -15.8969043868
3 1 20 8 1995.21 803.117 -0.00149694 0.0122397	337.756659213 -15.8444231963
3 1 8 9 760.505 898.559 0.00354663 0.0090565	337.749530218 -15.937480974
3 1 18 10 1839.36 921.501 -0.000620143 0.00791474	337.747450933 -15.8561704947
3 1 16 10 1577.41 938.315 0.000677627 0.00815201	337.74620663 -15.8759084609
3 1 18 12 1813.43 1137.5 3.52127e-05 0.00713987	337.730579285 -15.858134012
3 1 18 13 1805.39 1264 0.001648 0.00832531	337.720697016 -15.8587453107
3 1 12 13 1169.45 1289.36 -0.00028656 0.00256658	337.718871837 -15.9066674039
3 1 4 14 352.608 1384.56 -0.00133646 0.00635241	337.711628738 -15.9682563749
3 1 20 15 1970.68 1472.79 -0.00117709 0.00892552	337.704344221 -15.8463020906
3 1 19 15 1879.01 1486.5 -0.00481569 0.00935397	337.703295136 -15.8532084293
3 1 2 15 163.39 1490.21 -0.00497283 0.00247907	337.703412992 -15.9825315891
3 1 20 15 1957.17 1499.69 0.000551782 0.007988	337.702246027 -15.847320952
3 1 19 15 1847.89 1510.96 -0.00412426 0.0161313	337.701391593 -15.8555538739
3 1 14 16 1371.24 1567.88 9.49221e-05 0.00741431	337.697055276 -15.8914699899
3 1 4 16 333.819 1579.33 -0.00330333 0.00363124	337.696401989 -15.9696790964
3 1 3 16 243.998 1585.97 -0.00225199 0.000104324	337.695904283 -15.9764539291
3 1 3 18 259.7 1764.36 -0.00500605 -0.00123314	337.68195031 -15.97527443
3 1 4 18 395.849 1779.25 -0.00259226 -0.0010112	337.680754613 -15.9650065256
3 1 8 18 758.239 1822.19 -0.0009912 0.00442735	337.677316025 -15.9376826218
3 1 17 19 1655.18 1857.85 0.000792615 0.00986147	337.674333978 -15.8700857942
3 1 2 19 201.82 1877.36 -0.00303481 0.00313037	337.673127208 -15.9796430535
3 1 14 19 1332.09 1914.95 -0.00130043 0.00835887	337.66994182 -15.8944324141
3 1 2 19 130.754 1916.47 -0.00261957 0.00344974	337.670085038 -15.9850045703
3 1 2 19 196.782 1922.59 -0.00266203 0.00404227	337.669591448 -15.9800242138
3 1 3 19 304.882 1925.66 -0.00208324 0.00410378	337.66932706 -15.9718709628
3 1 6 19 557.92 1929.14 -0.00270119 0.00273619	337.668999006 -15.9527891169
3 1 2 20 168.501 1952.56 -0.00210864 0.00360836	337.667254241 -15.982158171
3 1 3 20 209.752 1960.58 -0.00365995 0.00345792	337.666617815 -15.9790468856
3 1 6 20 572.63 1963.56 0.000493417 0.00156617	337.66630484 -15.9516809104
3 1 15 21 1511.32 2058.08 0.00110251 0.00446018	337.658720559 -15.8809318231
3 1 18 21 1802.07 2065.02 -0.00122324 0.00824129	337.658118419 -15.859026828
3 1 6 21 517.561 2079.88 0.00146894 0.00370377	337.657222804 -15.9558364545
3 1 16 21 1635.18 2090.19 -0.00273641 0.00803529	337.656186482 -15.8716007696
